model,precision,recall,f1
Logistic Regression,0.6707317073170732,0.8208955223880597,0.738255033557047
Logistic Regression,0.6976744186046512,0.8333333333333334,0.759493670886076
Logistic Regression,0.7808219178082192,0.7916666666666666,0.7862068965517242
Logistic Regression,0.7142857142857143,0.8571428571428571,0.7792207792207793
Logistic Regression,0.6753246753246753,0.7878787878787878,0.7272727272727273
Logistic Regression,0.7297297297297297,0.8059701492537313,0.7659574468085106
Logistic Regression,0.8181818181818182,0.8076923076923077,0.8129032258064518
Logistic Regression,0.7662337662337663,0.7972972972972973,0.7814569536423841
Logistic Regression,0.7317073170731707,0.8333333333333334,0.7792207792207793
Logistic Regression,0.7738095238095238,0.8552631578947368,0.8125
Logistic Regression,0.7704918032786885,0.6911764705882353,0.7286821705426356
Logistic Regression,0.6746987951807228,0.8615384615384616,0.7567567567567568
Logistic Regression,0.6904761904761905,0.8787878787878788,0.7733333333333333
Logistic Regression,0.8115942028985508,0.7567567567567568,0.7832167832167832
Logistic Regression,0.6447368421052632,0.8166666666666667,0.7205882352941178
Logistic Regression,0.7105263157894737,0.782608695652174,0.7448275862068965
Logistic Regression,0.6790123456790124,0.7857142857142857,0.728476821192053
Logistic Regression,0.7631578947368421,0.8285714285714286,0.7945205479452055
Logistic Regression,0.75,0.8513513513513513,0.7974683544303798
Logistic Regression,0.7469879518072289,0.7848101265822784,0.7654320987654321
Logistic Regression,0.6794871794871795,0.828125,0.7464788732394365
Logistic Regression,0.6538461538461539,0.7611940298507462,0.7034482758620689
Logistic Regression,0.782051282051282,0.8026315789473685,0.7922077922077922
Logistic Regression,0.6538461538461539,0.85,0.7391304347826088
Logistic Regression,0.6447368421052632,0.7205882352941176,0.6805555555555556
Logistic Regression,0.7878787878787878,0.7536231884057971,0.7703703703703704
Logistic Regression,0.7763157894736842,0.8309859154929577,0.802721088435374
Logistic Regression,0.6944444444444444,0.819672131147541,0.7518796992481204
Logistic Regression,0.7105263157894737,0.8059701492537313,0.7552447552447553
Logistic Regression,0.7323943661971831,0.7761194029850746,0.7536231884057972
Logistic Regression,0.7702702702702703,0.7916666666666666,0.7808219178082192
Logistic Regression,0.7538461538461538,0.6901408450704225,0.7205882352941175
Logistic Regression,0.6753246753246753,0.8666666666666667,0.7591240875912408
